,NAME OF EVACUATION CENTER,ADDRESS,INDIVIDUAL CAPACITY,LATITUDE,LONGITUDE
0,Camiling Sports Complex,"Brgy. Poblacion 8 Camlling, Tadac",300,15.68754167 | 120.4,139
1,‘Adventist multigrade Schoel |,"Brgy Poblacion J Camiling, Tarlac",80,"15.6874 120,4",08
2,Anoling 1st Barangoy Hall,"Brgy. Ancling 1st Camiling, Tarlac",40,15.6550999 | 120.3,949966
3,,Anoling 2nd Barangay Hall__| Tarlac,30,15.6473999 | 120.3,889999
4,,Anpling 2nd Elem. School Tarlac,150,15.6470003 | 120.3,889999
5,Hall,"Brgy. Ancling 3rd Camiling, Tarlac",100,15.6422997 120.3,809967
6,Bacabac Barangay Hall,"Brgy. Bacabac Camiling, Tarlac",75,15.7271994 120.4,280014
7,Bacsay Baangay Chapel,Bray. Bacsay Camiling Tarlac,100,15.6458998 120.3,450012
8,Bacsay Barangay Hall,Brgy. Bacsay Camiling Tarlac,60,15.6456003 120.3,440018
9,Bacsay Child Devt Center,Brgy. Bacsay Camiling Tarlac,30,15.6456003 120.3,440018
10,Bacsay Multi-Purpose Hall,Brgy. Bacsay Camiling Tarlac,85,15.6456 120.3,44
11,Bancay 1st Barangey Hall,"Brgy. Boncay 1st Camiling, Tarlac",50,15.676 120.4,57
12,Bancay Ist elem School,"Brgy. Bancay Ist Camiling, Tarlac",150,15.672 120.4,51
13,Bobon 1st Elem School,Brgy Bobon 1st Camiling. Tarlac,200,15.6887999 | 120.3,880005
14,Bobon 2nd Barangay Hall,"Brgy. Bobon 2nd Camiling, Tarlac",50,15.6681995 | 120.3,87001
15,Center,"Brgy. Bobon 2nd Camiling, Tarlac",30,15.6681995 120.3,87001
16,bldg,Bray. Bobon 2nd Camiling. Tarlac,70,15.6681995 120.3,87001
17,Bobon Caarosipan,,,,
18,,Barangay Hall Tarlac,50,15.6644001 120.3,87001
19,Bobon Caarosipan Child,,,,
20,,Devt. Center Tarlac,23,15.6644001 120.3,87001
21,Center,Brgy. Florida Camiling. Tarlac,20,15.7018 120.4,73
22,Cabanabaan Barangay,,,,
23,,Hall Tarlac,40,15.6513 120.4,24
24,Cabanabaan Child Devt,,,,
25,,Center Tarlac,70,15.6515 120.4,25
26,,Cabanobaoan Elem School | Tarlac,245,15.6517 120.4,24
27,Cabanabaan multipurpose |,,,,
28,,hail Tarlac,90,15.6515 120.4,24
29,Multipurpose Hall,Brgy. Cacamilingan Sur,160,15.6868 120.4,14
30,,"School Poblacion H Camiling, Tarlac",300,15.6868 120.4,14
31,industries :,"Brgy. Sinilian 1st Camiling, Tarlac",60,15.6951 120.4,59
32,,"School Camilind, Tarlac",300,15.690591 120.4,07554
33,Center,"Brgy. Canlag Camiling, Tanae",30,15.7278 120.4,48
34,,"Building ~~ 1#Bigy Conlag Coming, Tarlac",40,15.7279 120.4,48
35,Carael Barangay Chapel __|,,"Brgy. Carael Camiling, Tarlac 2",,
36,Cargel Barangay Hall,"Brgy. Carael Camiing, Tarlac",40,15.7246 120.4,6
37,Cargel Elemenraty School,"Bray. Carael Camliing, Tarlac",60,15.7254 120.4,4
38,Cayaoan Barangay Hall,"Brgy. Cayaoan Camiling, Tarlac",50,15.6964998 | 120.4,160004
39,Cayaoan Elem School,"Bray. Cayaoan Camiling, Tarlac",,300 156962996 | 120.4,150009
40,Cayasan Barangay Hall,"Brgy Coyasan Camiling, Tarlac",,,
41,Cayasan child Devt center |,"Bray Cayasan Camiling, Tarlac",15,15.6736002 | 120.3,637784
42,Florida barangay Hall,"Brgy. Florida Camiling, Tarlac",30,15.7018 120.4,73
43,Covered Court,"Brgy. Florida Camiling, Tarlac",100,15.7008 120.4,74
44,Lasong Multi-Purpose hall,"Brgy. Lasong Camiling, Tarlac",100,15.6914 120.4,78
45,Libueg Barangay Hall,"Bray. Libueg Camiling, Tarlac",40,15.7063999 | 120.4,179993
46,Libueg Multipurpose bldg.,"Brgy. Libueg Camiling, Tarlac",70,15.7059002 120.4,179993
47,,Malacampa Barangay Hall | Tarlac,50,15.6492 120.4,09
48,,"Manaquem Covered Court | Bgy. Managuem Camiling, Tarlac",100,15.6533003 120.3,769989
49,Marawi Elem. School,"Brgy. Marawi Camiling, Tarlac",100,15.6855 120.4,65
50,Marowi Natl. High School,"Brgy. Marawi Camiling, Tarlac",100,15.6833 120.4,63
51,Matubog Barangay Hall,"Brgy Matubog, Camiling Tarlac",98,15.6861 120.4,46
52,Nagaseralan Barangay Hall |,Brgy. Nagserialan Cariling. Tarlac,60,15.6862 120.4,54
53,Nagrambacan Barangay,,,,
54,,Hall Tarlac,40,15.6562996 120.3,809967
55,Nagrambacan Child Devt. |,,,,
56,,Center Tarlac,30,15.6562996 120.3,809967
57,Center,"Brgy. Nagserialan Camiling, Tarlac",30,15.6862 120.4,54
58,Palimbo Proper Barangay,,,,
59,,Chapel Tarlac,10,15.690804 120.3,98138
60,Palimbo Proper Barangay,,,,
